ArtistId,Name,Album,Artist,ReleasedDate,AddedAt,DurationMS,Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo
5vfEaoOBcK0Lzr07WN8KaK,Espoir,Romance - EP,Darius,2014-02-24,2020-10-27T22:38:19Z,242242,0,0.0955,0.6,0.617,0.913,0.108,-7.0,0.0555,106.892
4tZwfgrHOc3mvqYlEYSvVi,Something About Us,"Musique, Vol. 1",Daft Punk,2006-03-29,2020-10-27T22:38:19Z,232666,41,0.44,0.875,0.475,0.72,0.046,-12.673,0.0986,99.958
4tZwfgrHOc3mvqYlEYSvVi,Make Love,Human After All,Daft Punk,2005-03-14,2020-10-27T22:38:19Z,289680,51,0.783,0.697,0.548,0.841,0.132,-9.087,0.0561,133.005
5INjqkS1o8h1imAzPqGZBb,Nangs,Currents,Tame Impala,2015-07-17,2020-10-27T22:38:19Z,107532,0,0.211,0.523,0.518,0.856,0.126,-9.63,0.25,167.582
54QMjE4toDfiCryzYWCpXX,We Broke Free,The English Riviera,Metronomy,2011-04-08,2020-10-27T22:38:19Z,245786,0,0.108,0.625,0.458,0.798,0.11,-9.093,0.0436,149.92
54QMjE4toDfiCryzYWCpXX,Some Written,The English Riviera,Metronomy,2011-04-08,2020-10-27T22:38:19Z,363333,0,0.658,0.699,0.378,0.915,0.263,-12.083,0.0484,152.006
6UcJxoeHWWWyT5HZP064om,Cigarettes & Loneliness,Built on Glass,Chet Faker,2014-04-14,2020-10-27T22:38:19Z,472048,0,0.0203,0.701,0.504,0.15,0.107,-11.558,0.0388,135.012
1P6U1dCeHxPui5pIrGmndZ,La femme d'argent,Moon Safari,Air,1998-01-16,2020-10-27T22:38:19Z,426614,61,0.434,0.517,0.737,0.684,0.392,-8.189,0.0352,79.82
5a7c4KGYYGhtrvsZkZMMht,Tune Down,Sticks,Chris Joss,2015-04-16,2020-10-27T22:38:19Z,280590,46,0.324,0.774,0.54,0.842,0.109,-11.83,0.0842,148.032
6xmvWip8eqRc5jqv2bHg9j,Don't Matter (feat. Darianna Everett),Don't Matter (feat. Darianna Everett) - EP,Cherokee,2013-11-11,2020-10-27T22:38:19Z,308256,0,0.468,0.885,0.518,0.00165,0.0999,-9.249,0.0887,108.993
54QMjE4toDfiCryzYWCpXX,I'm Aquarius,Love Letters,Metronomy,2013-12-30,2020-10-27T22:38:19Z,241634,0,0.252,0.759,0.492,0.000301,0.089,-7.795,0.0413,133.061
75cW8FFekyCjj0mfZM1Gfb,Football Head,Pleasure Palette,Flamingosis,2016-06-10,2020-10-27T22:38:19Z,224916,0,0.66,0.662,0.212,0.57,0.609,-14.638,0.0523,89.996
5mMkUZv8uUrlH0SHX89BeS,Come Closer,Paradise for All (Deluxe Edition),Guts,2013-06-21,2020-10-27T22:38:19Z,304026,32,0.684,0.739,0.39,0.812,0.143,-6.218,0.0927,98.064
179BpmLkQCRIoU68Co80f5,Lonely & Cold,SB2,Gramatik,2009-12-09,2020-10-27T22:38:19Z,190750,44,0.0111,0.626,0.617,0.000986,0.212,-4.78,0.275,191.86
6TRHBkv8BBumCvAekctZiJ,The End,Newcomer,Llorca,2001,2020-10-27T22:38:19Z,445600,0,0.0602,0.829,0.508,0.763,0.137,-9.11,0.049,94.073
4tNxq9NGKTKaX8OkZBLgf0,Morse,Carboot Soul,Nightmares On Wax,1999-04-12,2020-10-27T22:38:19Z,381173,43,0.246,0.675,0.496,0.888,0.155,-14.236,0.0622,80.958
1lc8mnyGrCLtPhCoWjRxjM,Crave You,Down to Earth,Flight Facilities,2014-10-24,2020-10-27T22:38:19Z,234776,0,0.109,0.921,0.477,0.0,0.0793,-8.962,0.0828,120.044
2mknvtcck8i82nKxDPDibv,Family Affair (feat. Leon Huff),MFSB,MFSB,1973-03-01,2020-10-27T22:38:19Z,261533,0,0.192,0.749,0.723,0.897,0.0734,-8.447,0.037,120.908
6avpsZzjS5Yy9daHLBCYmn,Goove On,Twelve Inch Classics from the 70s Volume 1,Little Beaver,2010-12-14,2020-10-27T22:38:19Z,362083,0,0.1,0.744,0.854,3.61e-06,0.118,-7.007,0.0391,96.271
